transformed_feature,original_feature,transformer
numeric__URLLength,URLLength,numeric
numeric__DomainLength,DomainLength,numeric
numeric__IsDomainIP,IsDomainIP,numeric
numeric__TLDLength,TLDLength,numeric
numeric__NoOfSubDomain,NoOfSubDomain,numeric
numeric__HasObfuscation,HasObfuscation,numeric
numeric__NoOfObfuscatedChar,NoOfObfuscatedChar,numeric
numeric__ObfuscationRatio,ObfuscationRatio,numeric
numeric__NoOfLettersInURL,NoOfLettersInURL,numeric
numeric__LetterRatioInURL,LetterRatioInURL,numeric
numeric__NoOfDegitsInURL,NoOfDegitsInURL,numeric
numeric__DegitRatioInURL,DegitRatioInURL,numeric
numeric__NoOfEqualsInURL,NoOfEqualsInURL,numeric
numeric__NoOfQMarkInURL,NoOfQMarkInURL,numeric
numeric__NoOfAmpersandInURL,NoOfAmpersandInURL,numeric
numeric__NoOfOtherSpecialCharsInURL,NoOfOtherSpecialCharsInURL,numeric
numeric__SpacialCharRatioInURL,SpacialCharRatioInURL,numeric
numeric__IsHTTPS,IsHTTPS,numeric
numeric__LineOfCode,LineOfCode,numeric
numeric__LargestLineLength,LargestLineLength,numeric
numeric__HasTitle,HasTitle,numeric
numeric__DomainTitleMatchScore,DomainTitleMatchScore,numeric
numeric__URLTitleMatchScore,URLTitleMatchScore,numeric
numeric__HasFavicon,HasFavicon,numeric
numeric__Robots,Robots,numeric
numeric__IsResponsive,IsResponsive,numeric
numeric__NoOfURLRedirect,NoOfURLRedirect,numeric
numeric__NoOfSelfRedirect,NoOfSelfRedirect,numeric
numeric__HasDescription,HasDescription,numeric
numeric__NoOfPopup,NoOfPopup,numeric
numeric__NoOfiFrame,NoOfiFrame,numeric
numeric__HasExternalFormSubmit,HasExternalFormSubmit,numeric
numeric__HasSocialNet,HasSocialNet,numeric
numeric__HasSubmitButton,HasSubmitButton,numeric
numeric__HasHiddenFields,HasHiddenFields,numeric
numeric__HasPasswordField,HasPasswordField,numeric
numeric__Bank,Bank,numeric
numeric__Pay,Pay,numeric
numeric__Crypto,Crypto,numeric
numeric__HasCopyrightInfo,HasCopyrightInfo,numeric
numeric__NoOfImage,NoOfImage,numeric
numeric__NoOfCSS,NoOfCSS,numeric
numeric__NoOfJS,NoOfJS,numeric
numeric__NoOfSelfRef,NoOfSelfRef,numeric
numeric__NoOfEmptyRef,NoOfEmptyRef,numeric
numeric__NoOfExternalRef,NoOfExternalRef,numeric
categorical__TLD_101,TLD,categorical
categorical__TLD_106,TLD,categorical
categorical__TLD_107,TLD,categorical
categorical__TLD_108,TLD,categorical
categorical__TLD_110,TLD,categorical
categorical__TLD_111,TLD,categorical
categorical__TLD_116,TLD,categorical
categorical__TLD_117,TLD,categorical
categorical__TLD_12,TLD,categorical
categorical__TLD_120,TLD,categorical
categorical__TLD_121,TLD,categorical
categorical__TLD_123,TLD,categorical
categorical__TLD_125,TLD,categorical
categorical__TLD_126,TLD,categorical
categorical__TLD_126:8080,TLD,categorical
categorical__TLD_128,TLD,categorical
categorical__TLD_13,TLD,categorical
categorical__TLD_130,TLD,categorical
categorical__TLD_133:8080,TLD,categorical
categorical__TLD_136,TLD,categorical
categorical__TLD_140,TLD,categorical
categorical__TLD_145,TLD,categorical
categorical__TLD_146,TLD,categorical
categorical__TLD_148,TLD,categorical
categorical__TLD_149,TLD,categorical
categorical__TLD_15,TLD,categorical
categorical__TLD_150,TLD,categorical
categorical__TLD_151,TLD,categorical
categorical__TLD_154,TLD,categorical
categorical__TLD_158,TLD,categorical
categorical__TLD_160,TLD,categorical
categorical__TLD_161,TLD,categorical
categorical__TLD_162,TLD,categorical
categorical__TLD_163,TLD,categorical
categorical__TLD_165,TLD,categorical
categorical__TLD_166,TLD,categorical
categorical__TLD_167,TLD,categorical
categorical__TLD_171,TLD,categorical
categorical__TLD_173,TLD,categorical
categorical__TLD_177,TLD,categorical
categorical__TLD_178,TLD,categorical
categorical__TLD_181,TLD,categorical
categorical__TLD_182,TLD,categorical
categorical__TLD_184,TLD,categorical
categorical__TLD_185,TLD,categorical
categorical__TLD_187,TLD,categorical
categorical__TLD_188:10003,TLD,categorical
categorical__TLD_189,TLD,categorical
categorical__TLD_197,TLD,categorical
categorical__TLD_198,TLD,categorical
categorical__TLD_199,TLD,categorical
categorical__TLD_20,TLD,categorical
categorical__TLD_200,TLD,categorical
categorical__TLD_203,TLD,categorical
categorical__TLD_206,TLD,categorical
categorical__TLD_21,TLD,categorical
categorical__TLD_210,TLD,categorical
categorical__TLD_211,TLD,categorical
categorical__TLD_211:8383,TLD,categorical
categorical__TLD_214,TLD,categorical
categorical__TLD_216,TLD,categorical
categorical__TLD_220,TLD,categorical
categorical__TLD_222,TLD,categorical
categorical__TLD_223,TLD,categorical
categorical__TLD_225,TLD,categorical
categorical__TLD_227,TLD,categorical
categorical__TLD_230,TLD,categorical
categorical__TLD_231,TLD,categorical
categorical__TLD_232,TLD,categorical
categorical__TLD_233,TLD,categorical
categorical__TLD_234,TLD,categorical
categorical__TLD_235,TLD,categorical
categorical__TLD_237,TLD,categorical
categorical__TLD_238,TLD,categorical
categorical__TLD_24,TLD,categorical
categorical__TLD_240,TLD,categorical
categorical__TLD_243,TLD,categorical
categorical__TLD_249:8080,TLD,categorical
categorical__TLD_250,TLD,categorical
categorical__TLD_252,TLD,categorical
categorical__TLD_254:30332,TLD,categorical
categorical__TLD_27,TLD,categorical
categorical__TLD_28,TLD,categorical
categorical__TLD_30,TLD,categorical
categorical__TLD_33,TLD,categorical
categorical__TLD_38,TLD,categorical
categorical__TLD_39,TLD,categorical
categorical__TLD_43,TLD,categorical
categorical__TLD_46,TLD,categorical
categorical__TLD_47,TLD,categorical
categorical__TLD_51,TLD,categorical
categorical__TLD_52,TLD,categorical
categorical__TLD_63,TLD,categorical
categorical__TLD_67,TLD,categorical
categorical__TLD_69,TLD,categorical
categorical__TLD_71,TLD,categorical
categorical__TLD_78,TLD,categorical
categorical__TLD_80,TLD,categorical
categorical__TLD_80:8085,TLD,categorical
categorical__TLD_84,TLD,categorical
categorical__TLD_86,TLD,categorical
categorical__TLD_87,TLD,categorical
categorical__TLD_94,TLD,categorical
categorical__TLD_95,TLD,categorical
categorical__TLD_ac,TLD,categorical
categorical__TLD_academy,TLD,categorical
categorical__TLD_ad,TLD,categorical
categorical__TLD_ae,TLD,categorical
categorical__TLD_aero,TLD,categorical
categorical__TLD_af,TLD,categorical
categorical__TLD_africa,TLD,categorical
categorical__TLD_ag,TLD,categorical
categorical__TLD_agency,TLD,categorical
categorical__TLD_ai,TLD,categorical
categorical__TLD_al,TLD,categorical
categorical__TLD_am,TLD,categorical
categorical__TLD_amsterdam,TLD,categorical
categorical__TLD_ao,TLD,categorical
categorical__TLD_app,TLD,categorical
categorical__TLD_aq,TLD,categorical
categorical__TLD_ar,TLD,categorical
categorical__TLD_archi,TLD,categorical
categorical__TLD_art,TLD,categorical
categorical__TLD_as,TLD,categorical
categorical__TLD_asia,TLD,categorical
categorical__TLD_associates,TLD,categorical
categorical__TLD_at,TLD,categorical
categorical__TLD_au,TLD,categorical
categorical__TLD_audio,TLD,categorical
categorical__TLD_autos,TLD,categorical
categorical__TLD_aw,TLD,categorical
categorical__TLD_ax,TLD,categorical
categorical__TLD_az,TLD,categorical
categorical__TLD_ba,TLD,categorical
categorical__TLD_band,TLD,categorical
categorical__TLD_bank,TLD,categorical
categorical__TLD_bar,TLD,categorical
categorical__TLD_barcelona,TLD,categorical
categorical__TLD_basketball,TLD,categorical
categorical__TLD_bayern,TLD,categorical
categorical__TLD_bb,TLD,categorical
categorical__TLD_bd,TLD,categorical
categorical__TLD_be,TLD,categorical
categorical__TLD_beauty,TLD,categorical
categorical__TLD_beer,TLD,categorical
categorical__TLD_berlin,TLD,categorical
categorical__TLD_best,TLD,categorical
categorical__TLD_bet,TLD,categorical
categorical__TLD_bf,TLD,categorical
categorical__TLD_bg,TLD,categorical
categorical__TLD_bh,TLD,categorical
categorical__TLD_bi,TLD,categorical
categorical__TLD_bid,TLD,categorical
categorical__TLD_bike,TLD,categorical
categorical__TLD_bio,TLD,categorical
categorical__TLD_biz,TLD,categorical
categorical__TLD_bj,TLD,categorical
categorical__TLD_black,TLD,categorical
categorical__TLD_blog,TLD,categorical
categorical__TLD_bm,TLD,categorical
categorical__TLD_bn,TLD,categorical
categorical__TLD_bo,TLD,categorical
categorical__TLD_bond,TLD,categorical
categorical__TLD_boutique,TLD,categorical
categorical__TLD_br,TLD,categorical
categorical__TLD_bs,TLD,categorical
categorical__TLD_bt,TLD,categorical
categorical__TLD_build,TLD,categorical
categorical__TLD_builders,TLD,categorical
categorical__TLD_business,TLD,categorical
categorical__TLD_buzz,TLD,categorical
categorical__TLD_bw,TLD,categorical
categorical__TLD_by,TLD,categorical
categorical__TLD_bz,TLD,categorical
categorical__TLD_ca,TLD,categorical
categorical__TLD_cab,TLD,categorical
categorical__TLD_cafe,TLD,categorical
categorical__TLD_cam,TLD,categorical
categorical__TLD_camera,TLD,categorical
categorical__TLD_capital,TLD,categorical
categorical__TLD_car,TLD,categorical
categorical__TLD_cards,TLD,categorical
categorical__TLD_care,TLD,categorical
categorical__TLD_careers,TLD,categorical
categorical__TLD_cars,TLD,categorical
categorical__TLD_casa,TLD,categorical
categorical__TLD_cash,TLD,categorical
categorical__TLD_cat,TLD,categorical
categorical__TLD_cc,TLD,categorical
categorical__TLD_cc:8443,TLD,categorical
categorical__TLD_cd,TLD,categorical
categorical__TLD_center,TLD,categorical
categorical__TLD_cern,TLD,categorical
categorical__TLD_cf,TLD,categorical
categorical__TLD_cfd,TLD,categorical
categorical__TLD_ch,TLD,categorical
categorical__TLD_chat,TLD,categorical
categorical__TLD_church,TLD,categorical
categorical__TLD_ci,TLD,categorical
categorical__TLD_citic,TLD,categorical
categorical__TLD_city,TLD,categorical
categorical__TLD_ck,TLD,categorical
categorical__TLD_cl,TLD,categorical
categorical__TLD_cleaning,TLD,categorical
categorical__TLD_click,TLD,categorical
categorical__TLD_clothing,TLD,categorical
categorical__TLD_cloud,TLD,categorical
categorical__TLD_club,TLD,categorical
categorical__TLD_cm,TLD,categorical
categorical__TLD_cn,TLD,categorical
categorical__TLD_co,TLD,categorical
categorical__TLD_coach,TLD,categorical
categorical__TLD_codes,TLD,categorical
categorical__TLD_coffee,TLD,categorical
categorical__TLD_college,TLD,categorical
categorical__TLD_com,TLD,categorical
categorical__TLD_com:2096,TLD,categorical
categorical__TLD_com:4000,TLD,categorical
categorical__TLD_com:443,TLD,categorical
categorical__TLD_com:9595,TLD,categorical
categorical__TLD_community,TLD,categorical
categorical__TLD_company,TLD,categorical
categorical__TLD_computer,TLD,categorical
categorical__TLD_condos,TLD,categorical
categorical__TLD_consulting,TLD,categorical
categorical__TLD_cool,TLD,categorical
categorical__TLD_coop,TLD,categorical
categorical__TLD_corsica,TLD,categorical
categorical__TLD_cr,TLD,categorical
categorical__TLD_crs,TLD,categorical
categorical__TLD_cu,TLD,categorical
categorical__TLD_cv,TLD,categorical
categorical__TLD_cx,TLD,categorical
categorical__TLD_cy,TLD,categorical
categorical__TLD_cymru,TLD,categorical
categorical__TLD_cyou,TLD,categorical
categorical__TLD_cz,TLD,categorical
categorical__TLD_date,TLD,categorical
categorical__TLD_de,TLD,categorical
categorical__TLD_delivery,TLD,categorical
categorical__TLD_dental,TLD,categorical
categorical__TLD_design,TLD,categorical
categorical__TLD_dev,TLD,categorical
categorical__TLD_diamonds,TLD,categorical
categorical__TLD_digital,TLD,categorical
categorical__TLD_direct,TLD,categorical
categorical__TLD_dj,TLD,categorical
categorical__TLD_dk,TLD,categorical
categorical__TLD_dm,TLD,categorical
categorical__TLD_do,TLD,categorical
categorical__TLD_dog,TLD,categorical
categorical__TLD_domains,TLD,categorical
categorical__TLD_download,TLD,categorical
categorical__TLD_dz,TLD,categorical
categorical__TLD_earth,TLD,categorical
categorical__TLD_ec,TLD,categorical
categorical__TLD_eco,TLD,categorical
categorical__TLD_edu,TLD,categorical
categorical__TLD_education,TLD,categorical
categorical__TLD_ee,TLD,categorical
categorical__TLD_eg,TLD,categorical
categorical__TLD_email,TLD,categorical
categorical__TLD_energy,TLD,categorical
categorical__TLD_engineering,TLD,categorical
categorical__TLD_es,TLD,categorical
categorical__TLD_et,TLD,categorical
categorical__TLD_eu,TLD,categorical
categorical__TLD_eus,TLD,categorical
categorical__TLD_events,TLD,categorical
categorical__TLD_exchange,TLD,categorical
categorical__TLD_expert,TLD,categorical
categorical__TLD_express,TLD,categorical
categorical__TLD_faith,TLD,categorical
categorical__TLD_family,TLD,categorical
categorical__TLD_farm,TLD,categorical
categorical__TLD_fashion,TLD,categorical
categorical__TLD_fi,TLD,categorical
categorical__TLD_film,TLD,categorical
categorical__TLD_finance,TLD,categorical
categorical__TLD_fit,TLD,categorical
categorical__TLD_fitness,TLD,categorical
categorical__TLD_fj,TLD,categorical
categorical__TLD_fk,TLD,categorical
categorical__TLD_flights,TLD,categorical
categorical__TLD_fm,TLD,categorical
categorical__TLD_fo,TLD,categorical
categorical__TLD_foundation,TLD,categorical
categorical__TLD_fr,TLD,categorical
